Patente,Tipo inventario,Marca,Estilo,Modelo,A̱o,Color,Traccion,Transmision,Combustible,Kms,Costo,Precio,Estado
RRYP10,Propio,BAIC,X35,1.5 LUXURY AC MT 5P,2022,Azul,4X2,Mecanica,Gasolina,46320,0,$7.690.000,Disponible
RSKS89,Propio,BAIC,X55,1.5T ELITE AC MT 5P,2022,Azul,4X2,Mecanica,Gasolina,63254,0,$8.290.000,Disponible
HWJB10,Consignacion,DODGE,DURANGO,3.6 LIMITED AT 5P,2016,Rojo,4X2,Automatica,Gasolina,77550,0,$18.990.000,Disponible
JRVY97,Propio,DODGE,JOURNEY,JOURNEY 2.4 3 CORRIDAS AT 5P ,2017,Negro,4X2,Automatica,Gasolina,97000,0,$9.390.000,Disponible
RJLW35,Consignacion,DONGFENG,S500,1.5 4X2 5MT 5P,2022,Azul,4X2,Mecanica,Gasolina,86610,0,$9.490.000,Disponible
KWLX23,Propio,FORD,FIESTA,1.6 PLUS S HB MT 5P,2019,Rojo,4X2,Mecanica,Gasolina,71653,0,$7.690.000,Disponible
RBBG68,Propio,GREAT WALL,WINGLE5,2.0 LUX TD DIESEL DOB. CAB. 4X2 MT 4P,2021,Blanco,4X2,Mecanica,Diesel,36198,0,$9.790.000,Disponible
GVKJ54,Propio,KIA,SORENTO,SORENTO EX 2.4 AT,2014,NEGRO,4X2,Automatica,Gasolina,104000,0,$9.990.000,Disponible
JYFJ76,Consignacion,KIA,SPORTAGE,2.0 LX DIESEL AWD AC 6MT 5P,2018,Negro,AWD,Mecanica,Diesel,150647,0,$12.390.000,Disponible
LBTZ85,Consignacion,KIA,SPORTAGE,2.0 LX DIESEL AWD AC 6MT 5P,2019,Plateado,AWD,Mecanica,Diesel,150989,0,$12.790.000,Disponible
KGST58,Consignacion,MITSUBISHI ,L200 ,2.4 KATANA CRT DOB. CAB. DIESEL 4X4 MT 4P,2018,Plateado,4X4,Mecanica,Diesel,165950,0,$15.390.000,Disponible
PHTL16,Propio,NISSAN,MARCH,1.6 SPORT DRIVE AC MT 5P,2021,Blanco,4X2,Mecanica,Gasolina,47171,0,$7.190.000,Disponible
PRGF73,Consignacion,RAM,1500,5.7 LARAMIE SPORT 4X4 AT 4P,2021,Gris Oscuro,4X4,Automatica,Gasolina,99819,0,$32.490.000,Disponible
KSCY40,Consignacion,SSANGYONG,STAVIC,2.2 DIESEL 2WD MT 5P,2018,Gris Oscuro,4X2,Mecanica,Diesel,132090,0,$13.490.000,Disponible
SVHV54,Consignacion,SUBARU,XV,2.0I AWD CVT AT 5P DYNAMIQUE,2023,Azul oscuro,AWD,Automatica,Gasolina,17182,0,$19.990.000,Disponible
HLXX73,Consignacion,SUZUKI,JIMNY,1.3 JLX SPORT 2AB AC MT 3P,2016,Beige,4X4,Mecanica,Gasolina,108000,0,$9.490.000,Disponible
RGPW13,Consignacion,SUZUKI,SPRESSO,1.0 GLX 4X2 MT 5P,2022,Negro,4X2,Mecanica,Gasolina,69341,0,$7.390.000,Disponible
KTXW45,Consignacion,VOLKSWAGEN,GOL,1.6 TRENDLINE HB AC 2AB MT 5P,2019,Blanco,4X2,Mecanica,Gasolina,74000,0,$7.490.000,Disponible
RJPB97,Propio,VOLKSWAGEN,T-CROSS,1.6 MSI COMFORTLINE MT5 5P,2022,Blanco,4X2,Mecanica,Gasolina,52400,0,$11.590.000,Disponible
LLSV89,Propio,GREAT WALL,H3,2.0 LE 4X2 MT 5P,2019,Gris,4X2,Mecanica,Gasolina,46427,0,$7.590.000,Disponible
JZZH84,Consignacion,FORD,ESCAPE,2.5 S 4X2 AT 5P,2018,Blanco,4X2,Automatica,Gasolina,106511,0,$11.490.000,Disponible
JYBG96,Consignacion,FORD,TRANSIT,2.2 MINIBUS DIESEL 17+1 MINIBUS MT,2018,Blanco,4X2,Mecanica,Diesel,118717,0,$27.990.000,Disponible
